P_NAME,P_HABZONE,P_TYPE_TEMP
HD 103720 b,0,Hot
HD 103774 b,0,Hot
HD 103949 b,0,
HD 104067 b,0,Hot
HD 10442 b,2,Warm
HD 104985 b,0,Hot
HD 106252 b,0,Cold
HD 106270 b,2,Warm
HD 106315 b,0,Hot
HD 106315 c,0,Hot
HD 10647 b,2,Warm
HD 106515 A b,0,Cold
HD 106906 b,0,
HD 10697 b,2,Warm
HD 107148 b,0,Hot
HD 108147 b,0,Hot
HD 108341 b,0,Cold
HD 108863 b,0,Hot
HD 108874 b,2,Warm
HD 108874 c,0,Cold
HD 109246 b,0,Hot
HD 109271 b,0,Hot
HD 109271 c,0,Hot
HD 109749 b,0,Hot
HD 110014 b,0,Hot
HD 111232 b,0,Cold
HD 111591 b,0,Hot
HD 111998 b,2,Warm
HD 113337 b,0,Hot
HD 113538 b,0,Cold
HD 113538 c,0,Cold
HD 113996 b,0,Hot
HD 114386 b,0,Cold
HD 114613 b,0,Cold
HD 114729 b,2,Warm
HD 114762 b,0,Hot
HD 114783 b,0,
HD 114783 c,0,
HD 11506 b,0,Cold
HD 11506 c,0,Hot
HD 116029 b,0,Hot
HD 116029 c,0,Hot
HD 117207 b,0,Cold
HD 11755 b,0,Hot
HD 117618 b,0,Hot
HD 118203 b,0,Hot
HD 119130 b,0,Hot
HD 11964 b,0,Cold
HD 11964 c,0,Hot
HD 11977 b,0,Hot
HD 120084 b,0,Hot
HD 121504 b,0,Hot
HD 12484 b,0,Hot
HD 125595 b,0,Hot
HD 125612 b,2,Warm
HD 125612 c,0,Hot
HD 125612 d,0,Cold
HD 12648 b,0,Hot
HD 126525 b,0,Cold
HD 12661 b,0,Hot
HD 12661 c,0,Cold
HD 126614 b,0,Cold
HD 128311 b,0,
HD 128311 c,0,
HD 128356 b,2,Warm
HD 129445 b,0,
HD 130322 b,0,Hot
HD 131496 b,0,Hot
HD 131664 b,0,Cold
HD 13167 b,0,Cold
HD 13189 b,0,Hot
HD 132406 b,2,Warm
HD 132563 b,0,Cold
HD 133131 A b,2,Warm
HD 133131 A c,0,Cold
HD 133131 B b,0,Cold
HD 134060 b,0,Hot
HD 134060 c,0,Cold
HD 134987 b,0,Hot
HD 134987 c,0,Cold
HD 136352 b,0,Hot
HD 136352 c,0,Hot
HD 136352 d,0,Hot
HD 136418 b,0,Hot
HD 13724 b,0,Cold
HD 137388 b,2,Warm
HD 13908 b,0,Hot
HD 13908 c,2,Warm
HD 13931 b,0,Cold
HD 139357 b,0,Hot
HD 1397 b,0,Hot
HD 14067 b,0,Hot
HD 141399 b,0,Hot
HD 141399 c,0,Hot
HD 141399 d,0,Cold
HD 141399 e,0,Cold
HD 141937 b,2,Warm
HD 142 b,0,Hot
HD 142 c,0,Cold
HD 142022 A b,0,Cold
HD 142245 b,1,Warm
HD 142415 b,2,Warm
HD 143105 b,0,Hot
HD 143361 b,0,Cold
HD 145377 b,0,Hot
HD 145457 b,0,Hot
HD 145934 b,0,
HD 1461 b,0,Hot
HD 1461 c,0,Hot
HD 147018 b,0,Hot
HD 147018 c,0,Cold
HD 147379 b,0,
HD 147513 b,2,Warm
HD 14787 b,0,Hot
HD 147873 b,0,Hot
HD 147873 c,0,Hot
HD 148156 b,0,Cold
HD 148164 b,0,Hot
HD 148164 c,0,Cold
HD 148284 b,0,Hot
HD 148427 b,0,Hot
HD 149026 b,0,Hot
HD 149143 b,0,Hot
HD 1502 b,0,Hot
HD 150706 b,0,Cold
HD 152079 b,0,Cold
HD 152581 b,0,Hot
HD 15337 b,0,Hot
HD 15337 c,0,Hot
HD 153950 b,2,Warm
HD 154345 b,0,Cold
HD 154672 b,0,Hot
HD 154857 b,0,Hot
HD 154857 c,0,Cold
HD 155233 b,0,Hot
HD 155358 b,0,Hot
HD 155358 c,0,Hot
HD 156279 b,0,Hot
HD 156279 c,0,Cold
HD 156411 b,1,Warm
HD 156668 b,0,Hot
HD 156846 b,0,Hot
HD 158038 b,0,Hot
HD 158996 b,0,Hot
HD 159243 b,0,Hot
HD 159243 c,0,Hot
HD 159868 b,2,Warm
HD 159868 c,0,Hot
HD 1605 b,0,Hot
HD 1605 c,2,Warm
HD 160691 b,0,
HD 160691 c,0,
HD 160691 d,0,
HD 160691 e,0,
HD 16141 b,0,Hot
HD 16175 b,2,Warm
HD 162020 b,0,Hot
HD 163607 b,0,Hot
HD 163607 c,2,Warm
HD 16417 b,0,
HD 164509 b,1,Warm
HD 164595 b,0,Hot
HD 164604 b,0,
HD 164922 b,0,Cold
HD 164922 c,0,Hot
HD 165155 b,2,Warm
HD 1666 b,0,Hot
HD 166724 b,0,Cold
HD 167042 b,0,Hot
HD 168443 b,0,Hot
HD 168443 c,0,Cold
HD 168746 b,0,Hot
HD 1690 b,0,Hot
HD 169830 b,0,Hot
HD 169830 c,0,Cold
HD 170469 b,0,Cold
HD 17092 b,0,Hot
HD 171028 b,0,Hot
HD 171238 b,0,Cold
HD 17156 b,0,Hot
HD 173416 b,0,Hot
HD 175167 b,2,Warm
HD 175541 b,0,Hot
HD 175607 b,0,Hot
HD 17674 b,2,Warm
HD 176986 b,0,Hot
HD 176986 c,0,Hot
HD 177565 b,0,
HD 177830 b,0,Hot
HD 177830 c,0,Hot
HD 178911 B b,0,Hot
HD 179079 b,0,Hot
HD 179949 b,0,Hot
HD 180053 b,0,Hot
HD 18015 b,2,Warm
HD 180314 b,0,Hot
HD 180617 b,2,Warm
HD 180902 b,0,Hot
HD 181234 b,0,Cold
HD 181342 b,0,Hot
HD 181433 b,0,Hot
HD 181433 c,0,Cold
HD 181433 d,0,Cold
HD 181720 b,2,Warm
HD 183263 b,2,Warm
HD 183263 c,0,Cold
HD 185269 b,0,Hot
HD 187085 b,2,Warm
HD 187123 b,0,
HD 187123 c,0,
HD 18742 b,0,Hot
HD 188015 b,2,Warm
HD 189733 b,0,Hot
HD 190360 b,0,Cold
HD 190360 c,0,Hot
HD 190647 b,1,Warm
HD 190984 b,0,Cold
HD 191806 b,0,Cold
HD 192263 b,0,Hot
HD 192310 b,0,Hot
HD 192310 c,1,Warm
HD 192699 b,0,Hot
HD 195019 b,0,Hot
HD 196050 b,1,Warm
HD 196067 b,0,Cold
HD 196885 b,2,Warm
HD 197037 b,1,Warm
HD 19994 b,0,
HD 20003 b,0,Hot
HD 20003 c,0,Hot
HD 200964 b,0,Hot
HD 200964 c,0,Hot
HD 202206 c,0,Cold
HD 202696 b,0,Hot
HD 202696 c,0,Hot
HD 202772 A b,0,Hot
HD 203030 b,0,
HD 203473 b,0,Cold
HD 2039 b,0,Cold
HD 204313 b,0,Cold
HD 204313 c,0,Hot
HD 204941 b,0,Cold
